Year,Month,EFPG_code,Number_stores,Price_index_GEKS,Purchase_dollars_unwtd,Purchase_dollars_wtd,Purchase_grams_unwtd,Purchase_grams_wtd,Unit_value_mean_unwtd,Unit_value_mean_wtd,Unit_value_se_wtd
2012,1,51550,4228.6,1.004210432,18261344.75,27964487.61,3807797031,5934680235,0.47843201,0.475629805,0.005662562
2012,1,51575,5891.266667,1.034382708,2156021.622,3418678.122,263172461.7,406192612.5,0.84014381,0.874688706,0.009472308
2012,1,53000,2772.533333,0.911528886,25618224.93,36920281.54,1717715841,2532390225,1.445979745,1.441875955,0.02028727
2012,1,53050,3494.666667,1.036289084,18453836.88,27961416.87,1543616756,2285721680,1.2348239,1.270378529,0.02200815
2012,1,53075,7395.733333,0.970236706,19160875.79,30523526.34,2232051313,3550431795,0.872205882,0.871112442,0.008677326
2012,1,54500,8438.066667,0.88837143,35625890.32,58329479.66,2915768871,4750047814,1.231754698,1.233916444,0.011795446
2012,1,54550,7623.866667,1.114409755,14844439.85,23027693.35,2397710777,3682163075,0.625086398,0.633058927,0.004553608
2012,1,56000,8428.6,0.969225001,203920253.1,327275755.9,21942959957,35799245925,0.964961323,0.971518301,0.012857743
2012,1,57500,7610.2,0.996409953,39574518.17,62711207.06,13017023746,20462971145,0.310087951,0.31229931,0.002601924
2012,1,59000,4297.4,0.977846496,6148266.55,8599653.145,509854745.6,717365023.1,1.215713734,1.207139437,0.010373166
2012,1,60000,8169.066667,0.979785535,93890280.12,147269242.1,8441273710,13448424154,1.111670878,1.100194563,0.007396684
2012,1,62500,8068.4,0.983273564,281062513,446714033.2,39327621749,62385465627,0.726895964,0.729775466,0.004535602
2012,1,65000,8185.266667,0.958050337,81091785.51,129678359.3,24484708531,38714530098,0.333358958,0.338813269,0.002018606
2012,1,67500,8192.4,1.00904748,45318987.82,72241152.14,33820789774,51167764942,0.134886384,0.13862461,0.002688545
2012,1,70000,7720.666667,1.00377758,51223224.39,82815547.01,11290424948,18490560131,0.458997102,0.453278632,0.009320996
2012,1,70050,7578.733333,1.049847387,34669816.36,55756426.27,6741044564,10742077561,0.520386506,0.526221177,0.004190941
2012,1,71000,8388.4,0.981379609,87174166.15,142520052.5,22953132356,37034047495,0.383371645,0.388538736,0.003881231
2012,1,71050,7578.266667,0.938529789,27193809.21,44966772.53,2230901180,3535245606,1.236223119,1.28326053,0.041373213
2012,1,72000,8440.2,1.003778483,27771856.44,58846904.49,28783325740,52254875553,0.097502004,0.114500553,0.001736778
2012,1,72010,8001.866667,1.126288998,80697377.79,125885436.5,5884639576,9642866282,1.506538648,1.493781262,0.024676148
2012,1,72020,8374,0.999046674,32393322.3,55077757.91,11728065935,19637156261,0.27698015,0.284666685,0.001934605
2012,1,72030,8443.6,0.988179441,90952637.66,184521819.3,96837187210,1.67996E+11,0.093919818,0.110088934,0.001174607
2012,1,72040,8443.466667,0.988668366,214112786.4,500654890.4,2.01115E+11,3.98072E+11,0.107229947,0.127084711,0.001541898
2012,1,72050,6435.4,0.973512942,226392159.7,563516232.1,59256483350,1.75877E+11,0.384642409,0.339338407,0.00514307
2012,1,72060,8442.4,1.016172983,46607668.08,87022029.67,1.14467E+11,1.89781E+11,0.040747503,0.045697556,0.000712106
2012,1,73000,7940.4,1.048491342,35390796.66,58360692.28,9912063228,16957910148,0.363758553,0.351717426,0.007926894
2012,1,73010,7409.6,1.001212228,8129474.104,13135028.35,1664631817,2706203328,0.495860989,0.492783119,0.007744875
2012,1,73020,8443.6,1.026093596,149196939.7,289406014.2,13526979668,23759993935,1.13254142,1.216056476,0.013318451
2012,1,73030,8439.466667,0.958983756,182117008.9,321113595.5,22764975633,39210744231,0.820633184,0.846449219,0.006771418
2012,1,73040,7083.266667,1.088147597,14621184.25,23782601.97,3537665590,5754462998,0.418330717,0.419379733,0.003398874
2012,1,73050,8271.666667,1.016785731,70530272.69,121692269.3,18983048326,31567178550,0.376681238,0.395661281,0.004266058
2012,1,73060,7837.333333,0.994425111,11536017.24,18361723.94,2545153595,4004037098,0.464830977,0.478954432,0.007653346
2012,1,74000,8135.066667,1.00952486,64029786.61,98300057.92,9142082549,13875012723,0.704774648,0.707630449,0.004389666
2012,1,74050,8134.133333,1.013297694,33124567.86,51796233.66,4764399054,7305816983,0.708133574,0.718207755,0.0039421
2012,1,75000,8439.333333,0.990098631,34011118.29,57387781.68,4011112148,6524165030,0.871198648,0.892469718,0.006521109
2012,1,75050,8441.933333,0.962407686,169536163.8,309291442.8,18736582795,32435428377,0.917021743,0.956034645,0.00575464
2012,1,76000,7564.4,0.924423916,12228625.73,22890288.8,1500372627,2847639287,0.822156251,0.824202932,0.014983766
2012,1,77000,5959.266667,0.967191709,14162670.47,20326629.68,1914780813,2779272546,0.747975084,0.744385202,0.005707694
2012,1,78000,6974.666667,0.883350039,37563597.51,58354994.68,1510701952,2290646374,2.408366805,2.473032848,0.034156541
2012,2,10000,6229.466667,0.960148559,22784743.62,33591862.28,4451733808,6500346112,0.509247675,0.514596137,0.002418571
2012,2,10025,4327.666667,1.015828039,3828192.442,5429182.214,737805731.5,1048663559,0.522854425,0.525603139,0.003842489
2012,2,10050,6703.333333,0.961197581,4875365.961,7341111.21,1172681650,1791636403,0.413827581,0.402847813,0.006738704
2012,2,10075,2916.866667,0.96069552,504079.4625,724349.4779,240587647.2,338390711.4,0.207813292,0.213574034,0.002291882
2012,2,15000,8023.666667,0.97667079,112215945.1,171130016,25028842336,38145554896,0.443555398,0.45143017,0.004642952
2012,2,15025,7080.533333,1.025886908,23354271.39,36283052.8,7939510525,12500477963,0.290702611,0.281943934,0.007486074
2012,2,15050,4174.8,0.953772652,755638.0474,1174635.172,299364283.2,464507482.7,0.311366601,0.31179628,0.008377344
2012,2,15075,7409.266667,0.994389572,22073570.46,34499314.73,7558914158,11650200378,0.296486958,0.298036808,0.00413146
2012,2,20000,2762.533333,1.070104897,21032849.43,31254842.4,15104584021,22723851613,0.142419887,0.143424713,0.001458997
2012,2,20075,3565.6,1.085370329,305968.8379,541872.4705,135840279.8,241583419.4,0.227525716,0.230197709,0.003666399
2012,2,21500,3438.466667,1.403577778,1773984.648,2350824.557,739449687.5,945652537.2,0.244019399,0.252644287,0.009181736
2012,2,21525,2140.066667,1.616188775,564064.3871,875138.5181,80935381.46,140892567.7,0.817075363,0.818476937,0.046622649
2012,2,21550,3382.2,1.034870726,5461443.85,8166157.239,1534569382,2280218652,0.361142332,0.367203577,0.004424381
2012,2,21575,6827.333333,1.052457291,5974956.103,9479033.696,2690327248,4297936116,0.224670454,0.220794427,0.003983212
2012,2,23000,2879.4,1.038848777,23567785.26,34444908.6,5380077525,7657385075,0.433770114,0.457577922,0.009790163
2012,2,23075,6810.4,1.007175119,9162403.662,14263556.02,3802983822,5878989463,0.244609639,0.24552281,0.00264637
2012,2,24500,2706.6,1.03103181,11602169.91,16100981.35,4264505610,5997498285,0.270666001,0.268304704,0.004135404
2012,2,24525,3261,1.030377553,7773460.55,10950993.4,2164673967,3061990969,0.365759291,0.364493448,0.002397481
2012,2,24550,2647.733333,1.031970729,381818.1737,533333.7352,91944468.16,124446295.7,0.411454967,0.427493427,0.00595968
2012,2,24575,5600.266667,0.994200392,1022629.066,1739829.907,367553747.8,638917747.8,0.284970501,0.282070533,0.004518436
2012,2,26000,2663.2,0.984786308,11279340.34,15601828.43,2477923278,3521604451,0.458818223,0.456004343,0.01032482
2012,2,26525,3246.333333,0.997843493,21618372.94,30156140.62,2801023695,3826878974,0.767094112,0.782487574,0.014077322
2012,2,26550,3725.333333,1.030290223,3905908.118,5820416.444,927766345.2,1366492673,0.421697746,0.427059405,0.005419862
2012,2,26575,3988.133333,1.069264318,793996.8035,1271162.978,327508805,520037159.5,0.254078861,0.255702142,0.003364038
2012,2,27500,5815.8,1.070107873,2560040.319,3784295.559,828022457.9,1210851218,0.319508694,0.319905153,0.00551329
2012,2,27550,2937.6,0.979744163,950036.868,1287186.201,179592923.5,246266323.6,0.542079898,0.526120758,0.007630105
2012,2,27575,6458.733333,1.01231222,8735343.046,13672847.57,3900265296,6067474054,0.226096079,0.227744489,0.00168102
2012,2,29000,3709.533333,0.975316216,63850282.73,91723588.51,20625809666,30044474858,0.310786204,0.314144257,0.005365134
